,cenario,rodada,tempo_conectado_sem_link,tempo_desconectado,tempo_sem_link
0,0.0,0.0,0.3624347401901153,0.5176405928855935,0.8800753330757088
1,0.0,0.0,0.4729115028286415,0.4884448715320839,0.9613563743607254
2,0.0,0.0,0.2409845335768751,0.7366132788237394,0.9775978124006144
3,0.0,0.0,0.3369988095733058,0.4986919378027285,0.8356907473760344
4,0.0,0.0,0.3032502215092003,0.6261290706306858,0.9293792921398862
5,0.0,1.0,0.19150492280168346,0.7744128652068282,0.9659177880085116
6,0.0,1.0,0.3169631642459325,0.5959184241183719,0.9128815883643043
7,0.0,1.0,0.3077238318040172,0.662718189840207,0.9704420216442241
8,0.0,1.0,0.14180755084446253,0.858035452460925,0.9998430033053877
9,0.0,1.0,0.2267133939492197,0.7192328918237634,0.9459462857729831
10,0.0,2.0,0.21909394774093827,0.7496545859625156,0.9687485337034537
11,0.0,2.0,0.25734128689987545,0.7367425601005728,0.994083847000448
12,0.0,2.0,0.2790839329010388,0.6794924502588561,0.9585763831598948
13,0.0,2.0,0.4509150672497651,0.5123690480533469,0.9632841153031121
14,0.0,2.0,0.27192132254191465,0.7041708940962598,0.9760922166381745
15,0.0,3.0,0.2501385362245913,0.71693670836106,0.9670752445856514
16,0.0,3.0,0.11723500929462488,0.8794177625299171,0.996652771824542
17,0.0,3.0,0.28844282633622076,0.6779167224087946,0.9663595487450153
18,0.0,3.0,0.1982810493759493,0.7673804985403128,0.9656615479162619
19,0.0,3.0,0.3048759554584851,0.6452872467633197,0.950163202221805
20,0.0,4.0,0.2822433772273149,0.6974647445253414,0.9797081217526562
21,0.0,4.0,0.21203226813380044,0.7288221311054998,0.9408543992393001
22,0.0,4.0,0.353804159337689,0.6314421527091459,0.985246312046835
23,0.0,4.0,0.16158663660634648,0.7374427539779458,0.8990293905842923
24,0.0,4.0,0.14689520256875824,0.8245424615616882,0.9714376641304466
25,0.0,5.0,0.27363739868994547,0.6334412105374063,0.9070786092273517
26,0.0,5.0,0.17844325204003547,0.7991570660665265,0.9776003181065619
27,0.0,5.0,0.4142446965459372,0.5463797020321263,0.9606243985780634
28,0.0,5.0,0.31722885331492906,0.6600223726865236,0.9772512260014526
29,0.0,5.0,0.24904539494924396,0.7138324647902071,0.962877859739451
30,0.0,6.0,0.21407757529735685,0.7340275775052512,0.948105152802608
31,0.0,6.0,0.09395834883917664,0.8179372416308689,0.9118955904700454
32,0.0,6.0,0.37349139612352833,0.6186214239639969,0.9921128200875252
33,0.0,6.0,0.15300398747566762,0.840673456724056,0.9936774441997237
34,0.0,6.0,0.18944813785544504,0.8066643091981996,0.9961124470536445
35,0.0,7.0,0.43236159032730204,0.5459835543960252,0.9783451447233273
36,0.0,7.0,0.33303901997736124,0.6438977681507398,0.9769367881281009
37,0.0,7.0,0.3042586835371485,0.6838285819604671,0.9880872654976156
38,0.0,7.0,0.1876538215887758,0.7920537498160705,0.9797075714048462
39,0.0,7.0,0.28628799163415075,0.6691269977191353,0.9554149893532861
40,0.0,8.0,0.21545554711909523,0.7736878143039047,0.9891433614229999
41,0.0,8.0,0.287089896298023,0.7126865870843818,0.9997764833824048
42,0.0,8.0,0.44530905545376953,0.4977414657023787,0.9430505211561482
43,0.0,8.0,0.16362410486290951,0.8059563449572414,0.9695804498201509
44,0.0,8.0,0.3770675229675135,0.5497717736697117,0.9268392966372251
45,0.0,9.0,0.1588414929743832,0.8058076064362585,0.9646490994106417
46,0.0,9.0,0.4342304352540746,0.5598186950561578,0.9940491303102323
47,0.0,9.0,0.3990926350982921,0.5948304683026866,0.9939231034009787
48,0.0,9.0,0.10051117514609474,0.8142502938082609,0.9147614689543556
49,0.0,9.0,0.21255796439793426,0.7658373782112077,0.9783953426091417
50,0.0,10.0,0.3267711718396052,0.5878524011743275,0.9146235730139326
51,0.0,10.0,0.29632485882519444,0.6823391786264895,0.9786640374516838
52,0.0,10.0,0.3196489000328998,0.6667049781416337,0.9863538781745336
53,0.0,10.0,0.3973529022975936,0.43846305034446714,0.8358159526420608
54,0.0,10.0,0.2587187777078654,0.6005517868049335,0.8592705645127989
55,0.0,11.0,0.3971739018595209,0.5732518058225163,0.9704257076820371
56,0.0,11.0,0.25518176241657037,0.7333513465369006,0.9885331089534708
57,0.0,11.0,0.40053640370086935,0.5308092915241835,0.9313456952250528
58,0.0,11.0,0.21592272100824153,0.7650112204947042,0.9809339415029457
59,0.0,11.0,0.41100781232130745,0.5866428086674286,0.997650620988736
60,0.0,12.0,0.38833181612107814,0.5928962123251315,0.9812280284462097
61,0.0,12.0,0.3786813251048266,0.5231715467443263,0.901852871849153
62,0.0,12.0,0.15319687972133134,0.8226734066454626,0.9758702863667938
63,0.0,12.0,0.46910611618492093,0.5075021967374358,0.9766083129223567
64,0.0,12.0,0.19501635919787905,0.7798123140581023,0.9748286732559813
65,0.0,13.0,0.2615908771469689,0.7352983546493531,0.9968892317963217
66,0.0,13.0,0.28439640792836984,0.6888701984551286,0.9732666063834985
67,0.0,13.0,0.3652621974702887,0.5995565014543018,0.9648186989245905
68,0.0,13.0,0.48737546091304296,0.35546607689820625,0.8428415378112493
69,0.0,13.0,0.31386945044069453,0.6338569828326027,0.9477264332732974
70,0.0,14.0,0.2529237043051387,0.7139077611031119,0.9668314654082506
71,0.0,14.0,0.277784498294945,0.6551908764623188,0.9329753747572638
72,0.0,14.0,0.22895120185672516,0.7664626607154607,0.9954138625721858
73,0.0,14.0,0.2520277417583075,0.6843477458974365,0.9363754876557441
74,0.0,14.0,0.2812796941564652,0.6859459098526138,0.9672256040090789
