,entrada,cenario,rodada,tempo_desconectado,tempo_conectado_sem_link,tempo_sem_link
33,"(5, 6)",SimulacaoCenario1Deterministico,3.0,0.6723846201868404,0.29942325003485704,0.9718078702216973
34,"(5, 6)",SimulacaoCenario1Deterministico,3.0,0.6652624895961609,0.3262110352108101,0.9914735248069709
35,"(5, 6)",SimulacaoCenario1Deterministico,3.0,0.7496221557367218,0.2425971481490803,0.992219303885802
36,"(5, 6)",SimulacaoCenario1Deterministico,3.0,0.746264604609326,0.24348440881006297,0.9897490134193888
37,"(5, 6)",SimulacaoCenario1Deterministico,3.0,0.6629419335303458,0.3175285907612531,0.9804705242915989
38,"(5, 6)",SimulacaoCenario1Deterministico,3.0,0.6901933377990606,0.29502342497514866,0.9852167627742092
39,"(5, 6)",SimulacaoCenario1Deterministico,3.0,0.7435826958434032,0.24913384401243013,0.9927165398558334
40,"(5, 6)",SimulacaoCenario1Deterministico,4.0,0.7517676943127695,0.2347671446572847,0.9865348389700542
41,"(5, 6)",SimulacaoCenario1Deterministico,4.0,0.6785630524050584,0.2969608717303012,0.9755239241353596
42,"(5, 6)",SimulacaoCenario1Deterministico,4.0,0.6833897307626364,0.28793906869132185,0.9713287994539583
43,"(5, 6)",SimulacaoCenario1Deterministico,4.0,0.6653326970213026,0.30586401488506165,0.9711967119063643
44,"(5, 6)",SimulacaoCenario1Deterministico,4.0,0.6387185241616888,0.33824358889707395,0.9769621130587629
45,"(5, 6)",SimulacaoCenario1Deterministico,4.0,0.673368816679992,0.3029289939068254,0.9762978105868175
46,"(5, 6)",SimulacaoCenario1Deterministico,4.0,0.6986600655401329,0.27643060892697513,0.9750906744671081
47,"(5, 6)",SimulacaoCenario1Deterministico,4.0,0.7865467970752038,0.20091932911666333,0.9874661261918672
48,"(5, 6)",SimulacaoCenario1Deterministico,4.0,0.7262850934276116,0.2551617080971741,0.9814468015247858
49,"(5, 6)",SimulacaoCenario1Deterministico,4.0,0.721890692466566,0.26056937683664644,0.9824600693032126
50,"(5, 6)",SimulacaoCenario1Deterministico,5.0,0.6696659732639221,0.3116912567180702,0.9813572299819923
51,"(5, 6)",SimulacaoCenario1Deterministico,5.0,0.7659775176023748,0.2106632953606748,0.9766408129630496
