,datetime,level,content
60,2021-10-26 14:05:14.935763,0.0,(20) Proposto: 0.00141643059490085|Atual: 0.0014204545454545455
61,2021-10-26 14:05:14.938505,0.0,(20) Aceitação: 0.9971671388101984|U: 0.979611292840536
62,2021-10-26 14:05:14.940387,0.0,(20) Aceito!
63,2021-10-26 14:05:14.946078,0.0,(21) Proposto: 0.0015337423312883436|Atual: 0.00141643059490085
64,2021-10-26 14:05:14.948035,0.0,(21) Aceitação: 1.0828220858895705|U: 0.6279880925258752
65,2021-10-26 14:05:14.949881,0.0,(21) Aceito!
66,2021-10-26 14:05:14.955573,0.0,(22) Proposto: 0.0015527950310559005|Atual: 0.0015337423312883436
67,2021-10-26 14:05:14.957592,0.0,(22) Aceitação: 1.012422360248447|U: 0.8769085044898598
68,2021-10-26 14:05:14.959703,0.0,(22) Aceito!
69,2021-10-26 14:05:14.965207,0.0,(23) Proposto: 0.0014534883720930232|Atual: 0.0015527950310559005
70,2021-10-26 14:05:14.967353,0.0,(23) Aceitação: 0.936046511627907|U: 0.01216801215026675
71,2021-10-26 14:05:14.969223,0.0,(23) Aceito!
72,2021-10-26 14:05:14.975375,0.0,(24) Proposto: 0.0014534883720930232|Atual: 0.0014534883720930232
73,2021-10-26 14:05:14.978446,0.0,(24) Aceitação: 1.0|U: 0.3365440574610007
74,2021-10-26 14:05:14.980487,0.0,(24) Aceito!
75,2021-10-26 14:05:14.986238,0.0,(25) Proposto: 0.0014367816091954023|Atual: 0.0014534883720930232
76,2021-10-26 14:05:14.988479,0.0,(25) Aceitação: 0.9885057471264368|U: 0.40053134213407493
77,2021-10-26 14:05:14.991123,0.0,(25) Aceito!
78,2021-10-26 14:05:14.996524,0.0,(26) Proposto: 0.0015625|Atual: 0.0014367816091954023
79,2021-10-26 14:05:14.998603,0.0,(26) Aceitação: 1.0875000000000001|U: 0.4118197360945307
80,2021-10-26 14:05:15.000527,0.0,(26) Aceito!
81,2021-10-26 14:05:15.005918,0.0,(27) Proposto: 0.0014792899408284023|Atual: 0.0015625
82,2021-10-26 14:05:15.008006,0.0,(27) Aceitação: 0.9467455621301775|U: 0.6634294639734938
83,2021-10-26 14:05:15.009956,0.0,(27) Aceito!
84,2021-10-26 14:05:15.015900,0.0,(28) Proposto: 0.0015290519877675841|Atual: 0.0014792899408284023
85,2021-10-26 14:05:15.017916,0.0,(28) Aceitação: 1.033639143730887|U: 0.12303992948294573
86,2021-10-26 14:05:15.019941,0.0,(28) Aceito!
87,2021-10-26 14:05:15.026881,0.0,(29) Proposto: 0.0015384615384615385|Atual: 0.0015290519877675841
88,2021-10-26 14:05:15.029048,0.0,(29) Aceitação: 1.0061538461538462|U: 0.39812551418919995
89,2021-10-26 14:05:15.031416,0.0,(29) Aceito!
90,2021-10-26 14:05:15.036764,0.0,(30) Proposto: 0.0015527950310559005|Atual: 0.0015384615384615385
91,2021-10-26 14:05:15.038926,0.0,(30) Aceitação: 1.0093167701863353|U: 0.08887853427370962
92,2021-10-26 14:05:15.041127,0.0,(30) Aceito!
93,2021-10-26 14:05:15.046626,0.0,(31) Proposto: 0.0015527950310559005|Atual: 0.0015527950310559005
94,2021-10-26 14:05:15.048684,0.0,(31) Aceitação: 1.0|U: 0.1392742673964572
95,2021-10-26 14:05:15.050835,0.0,(31) Aceito!
96,2021-10-26 14:05:15.056292,0.0,(32) Proposto: 0.0015772870662460567|Atual: 0.0015527950310559005
97,2021-10-26 14:05:15.058362,0.0,(32) Aceitação: 1.0157728706624607|U: 0.5252044159015945
98,2021-10-26 14:05:15.060424,0.0,(32) Aceito!
99,2021-10-26 14:05:15.068029,0.0,(33) Proposto: 0.001597444089456869|Atual: 0.0015772870662460567
100,2021-10-26 14:05:15.070651,0.0,(33) Aceitação: 1.012779552715655|U: 0.9108109201209202
101,2021-10-26 14:05:15.073357,0.0,(33) Aceito!
102,2021-10-26 14:05:15.080319,0.0,(34) Proposto: 0.0015625|Atual: 0.001597444089456869
103,2021-10-26 14:05:15.083259,0.0,(34) Aceitação: 0.9781250000000001|U: 0.8403385365399397
104,2021-10-26 14:05:15.085715,0.0,(34) Aceito!
105,2021-10-26 14:05:15.091419,0.0,(35) Proposto: 0.0015822784810126582|Atual: 0.0015625
106,2021-10-26 14:05:15.093595,0.0,(35) Aceitação: 1.0126582278481011|U: 0.3651604118756966
107,2021-10-26 14:05:15.095481,0.0,(35) Aceito!
108,2021-10-26 14:05:15.100653,0.0,(36) Proposto: 0.0015060240963855422|Atual: 0.0015822784810126582
109,2021-10-26 14:05:15.102799,0.0,(36) Aceitação: 0.9518072289156627|U: 0.6962777146551273
110,2021-10-26 14:05:15.104919,0.0,(36) Aceito!
111,2021-10-26 14:05:15.110585,0.0,(37) Proposto: 0.0015527950310559005|Atual: 0.0015060240963855422
112,2021-10-26 14:05:15.112657,0.0,(37) Aceitação: 1.031055900621118|U: 0.292324339894507
113,2021-10-26 14:05:15.114593,0.0,(37) Aceito!
114,2021-10-26 14:05:15.119810,0.0,(38) Proposto: 0.001483679525222552|Atual: 0.0015527950310559005
115,2021-10-26 14:05:15.122658,0.0,(38) Aceitação: 0.9554896142433236|U: 0.957505633380447
116,2021-10-26 14:05:15.124909,0.0,(38) Reprovado!
117,2021-10-26 14:05:15.130493,0.0,(39) Proposto: 0.001519756838905775|Atual: 0.0015527950310559005
118,2021-10-26 14:05:15.132892,0.0,(39) Aceitação: 0.9787234042553192|U: 0.09823437079623398
119,2021-10-26 14:05:15.134967,0.0,(39) Aceito!
120,2021-10-26 14:05:15.140609,0.0,(40) Proposto: 0.0014749262536873156|Atual: 0.001519756838905775
121,2021-10-26 14:05:15.142558,0.0,(40) Aceitação: 0.9705014749262537|U: 0.7660320557820967
122,2021-10-26 14:05:15.144572,0.0,(40) Aceito!
123,2021-10-26 14:05:15.149762,0.0,(41) Proposto: 0.0015479876160990713|Atual: 0.0014749262536873156
124,2021-10-26 14:05:15.151758,0.0,(41) Aceitação: 1.0495356037151704|U: 0.5555183641882679
125,2021-10-26 14:05:15.154004,0.0,(41) Aceito!
126,2021-10-26 14:05:15.159264,0.0,(42) Proposto: 0.0014749262536873156|Atual: 0.0015479876160990713
127,2021-10-26 14:05:15.161288,0.0,(42) Aceitação: 0.9528023598820058|U: 0.48345827378943296
128,2021-10-26 14:05:15.163289,0.0,(42) Aceito!
129,2021-10-26 14:05:15.169383,0.0,(43) Proposto: 0.0014619883040935672|Atual: 0.0014749262536873156
130,2021-10-26 14:05:15.171835,0.0,(43) Aceitação: 0.9912280701754386|U: 0.4647941387924085
131,2021-10-26 14:05:15.174139,0.0,(43) Aceito!
132,2021-10-26 14:05:15.180749,0.0,(44) Proposto: 0.0015625|Atual: 0.0014619883040935672
133,2021-10-26 14:05:15.185326,0.0,(44) Aceitação: 1.06875|U: 0.49779319813846745
134,2021-10-26 14:05:15.189605,0.0,(44) Aceito!
135,2021-10-26 14:05:15.202273,0.0,(45) Proposto: 0.0015337423312883436|Atual: 0.0015625
136,2021-10-26 14:05:15.206039,0.0,(45) Aceitação: 0.9815950920245399|U: 0.7577648068630869
137,2021-10-26 14:05:15.209087,0.0,(45) Aceito!
138,2021-10-26 14:05:15.219852,0.0,(46) Proposto: 0.001483679525222552|Atual: 0.0015337423312883436
139,2021-10-26 14:05:15.224458,0.0,(46) Aceitação: 0.9673590504451038|U: 0.61494970790478
140,2021-10-26 14:05:15.227327,0.0,(46) Aceito!
141,2021-10-26 14:05:15.233045,0.0,(47) Proposto: 0.001557632398753894|Atual: 0.001483679525222552
142,2021-10-26 14:05:15.235268,0.0,(47) Aceitação: 1.0498442367601246|U: 0.786430043071191
143,2021-10-26 14:05:15.238220,0.0,(47) Aceito!
144,2021-10-26 14:05:15.244996,0.0,(48) Proposto: 0.0015625|Atual: 0.001557632398753894
145,2021-10-26 14:05:15.247406,0.0,(48) Aceitação: 1.003125|U: 0.01335984818296343
146,2021-10-26 14:05:15.249523,0.0,(48) Aceito!
147,2021-10-26 14:05:15.256695,0.0,(49) Proposto: 0.001567398119122257|Atual: 0.0015625
